filler_zip,poly_index,assigned_to_zip,centroid_lon,centroid_lat,area_m2
006MX,0,00677,-67.4807544,18.3840474,1314059.62
007MX,0,00765,-65.3159209,18.1360438,13560632.67
007MX,1,00795,-66.5193410,17.8947261,1529369.62
035MX,0,03592,-71.0595305,44.9910221,552832.15
044MX,0,04492,-67.4668913,45.3671277,50428995.27
044MX,1,04478,-69.6294731,46.2997771,5309128389.83
046MX,0,04622,-67.9869898,45.0498359,830506290.74
047MX,0,04774,-69.0830083,47.3235999,101317538.49
047MX,1,04780,-68.1504563,46.3909516,184023812.67
047MX,2,04741,-69.2713765,46.7958740,5247967037.89
049MX,0,04985,-69.9466056,45.4927815,2063203.40
206MH,0,20687,-76.5121770,38.0355543,919749.43
218MX,0,23336,-75.2555625,38.0386209,69703656.66
218MX,1,21627,-76.0271000,38.0936658,10653906.64
233MX,0,delete,-76.0781292,37.0354613,33288.37
234MX,0,21866,-75.9994068,37.9503148,539231.68
234MX,1,21824,-76.0275609,37.9576353,1401440.72
234MX,2,21824,-76.0434585,37.9596007,1460692.68
285MX,0,delete,-76.1404978,35.0022443,411148.15
313MX,0,31321,-81.6977824,32.0018248,8204161.09
313MX,1,31316,-81.7478992,32.0128763,6025734.05
314MH,0,31324,-81.0770778,31.8028594,1476769.25
316MX,0,31631,-82.7404853,30.8059063,1562679.51
320MX,0,32066,-83.1833155,29.8317410,6917145.15
323MX,0,32322,-84.7725295,29.9859312,110914933.61
326MX,0,32680,-83.1833863,29.8117892,1593992.39
327MH,0,32796,-80.7477127,28.7136666,3629199.89
327MX,0,32702,-81.7286626,29.1614039,12914715.72
329MH,0,32815,-80.7189958,28.7314729,60705595.82
329MX,0,32815,-80.7261793,28.7086105,178916.00
329MX,1,32815,-80.7021472,28.7405928,8693930.89
330MX,0,33037,-80.2116890,25.4326930,14430433.53
330MX,1,33332,-80.6386645,26.1570783,1327881623.20
331MX,0,33018,-80.7314353,25.8759323,512189916.00
334MH,0,33438,-80.8015167,26.8633238,367729367.86
334MX,0,33493,-80.6493957,26.4295481,636567886.74
334MX,1,33471,-81.0119423,26.9028724,123722988.80
344MX,0,32134,-81.7386756,29.2022189,9414729.32
391MX,0,39180,-91.0778053,32.2242423,853294.22
420MX,0,42045,-88.0935083,36.8916577,1948703.49
422MX,0,42211,-88.0753289,36.8691607,14841778.12
499MX,0,55605,-88.5377239,48.1107379,612899.14
499MX,1,55605,-88.5558628,48.1018056,239064.00
499MX,2,55605,-88.8013111,47.9341661,167940.55
499MX,3,55605,-88.8906053,47.9853184,561410650.99
556MX,0,55603,-91.1149741,47.7983812,13395099.15
556MX,1,55603,-91.1633011,47.7569922,2838870.48
556MX,2,55731,-91.2778985,47.7684952,55395721.93
557MX,0,55731,-91.7493878,48.1850541,10823000.32
557MX,1,55750,-91.9472034,47.5842811,17324110.16
566MH,0,56686,-94.8282182,49.0932268,500524808.97
566MH,1,56666,-95.0677157,47.9918036,372464860.16
566MX,0,56686,-95.0656572,48.5117991,988807412.96
567MH,0,56685,-94.9127467,48.1203183,245432505.59
567MX,0,56711,-95.0901250,49.1965224,55221166.51
567MX,1,56685,-94.9467540,48.2283027,564477684.88
590MH,0,59035,-108.1058897,45.1981615,20876320.42
590MX,0,59054,-108.1137865,46.6977670,138982683.37
590MX,1,59101,-108.1303823,45.4819867,42321069.40
590MX,2,59022,-107.1626952,45.6633377,215344780.20
590MX,3,59035,-107.8662152,45.2049500,18248137.40
590MX,4,59014,-108.5256364,45.0290784,50751374.95
590MX,5,59066,-108.2444027,45.1952509,566202177.55
590MX,6,59035,-108.0586321,45.1110222,546712817.30
593MX,0,59043,-106.9013965,45.7048208,4692430.42
594MX,0,59434,-113.0901239,48.2144600,365595292.98
595MX,0,59547,-109.0766379,48.9853461,22611707.06
595MX,1,59527,-108.9765218,48.0628793,273622.82
598MX,0,59826,-113.2644630,47.3735331,1410299789.05
599MH,0,59930,-115.3161894,48.6735437,14111627.06
599MX,0,59911,-113.4025221,47.9343015,3296807007.75
599MX,1,59930,-115.3586376,48.9714025,46181932.79
599MX,2,59923,-115.2691039,48.6917736,76863804.34
599MX,3,59923,-115.3893052,48.6875281,259754276.51
700MH,0,70083,-89.7337400,29.3653194,155256128.10
700MH,1,70030,-90.2603071,29.7372459,112219368.96
700MX,0,delete,-89.3941614,29.9490575,4376296.34
700MX,1,delete,-89.4315318,29.8650553,289897.93
700MX,2,delete,-89.4413651,29.7071662,108196.42
700MX,3,delete,-89.4529411,29.9050477,140201.63
700MX,4,delete,-89.4584777,29.6789024,55956.29
700MX,5,delete,-89.5322427,29.6545801,3761206.36
700MX,6,delete,-89.5130960,29.9718428,50250060.77
700MX,7,delete,-89.4596452,29.8333182,72431037.20
700MX,8,delete,-89.6534659,29.5768187,1518252.76
700MX,9,delete,-89.6736289,29.3053213,244909.05
703MH,0,70353,-90.8344003,29.1318380,86829476.65
703MH,1,70397,-90.9956214,29.1860570,309790.53
703MH,2,70397,-91.0719068,29.2582250,86243120.25
703MH,3,70356,-91.1563659,29.2356587,17199720.77
703MH,4,70356,-91.2365058,29.2889496,132135226.81
703MH,5,70356,-91.3459148,29.3303105,246199.57
703MH,6,70356,-91.3183250,29.2943139,8745335.74
703MH,7,70356,-91.1058593,29.4515950,763913103.47
703MX,0,70339,-91.3795580,29.9332594,7428935.38
704MX,0,70461,-89.5290411,30.1846254,553471.89
705MH,0,70643,-91.8693126,29.5604245,294599480.91
705MH,1,70643,-92.1359774,29.6772864,1742424.26
705MX,0,70643,-92.1945797,29.6291033,283096102.42
707MX,0,70764,-91.4877004,30.0059825,81380669.73
765MX,0,76544,-97.7638410,31.2379691,11914549.18
769MX,0,76951,-100.8885696,32.0728550,20948880.57
769MX,1,76958,-100.8553495,31.6310783,6637957.72
769MX,2,76958,-101.1379971,31.5173057,125815833.58
769MX,3,76941,-101.0857739,31.3107687,115771193.54
769MX,4,76930,-101.2813267,31.3230213,180896798.40
774MX,0,77457,-95.8266188,28.6676941,34562493.90
774MX,1,77457,-96.1071070,28.5494651,34287300.71
775MX,0,77650,-94.4591528,29.6362520,6096954.97
776MX,0,77655,-94.2231384,29.6364927,146921799.26
779MX,0,78377,-96.7977083,28.2507365,7261226.13
779MX,1,78377,-96.8166324,28.1818190,1667.39
779MX,2,78377,-96.6457089,28.2275668,180724261.28
780MX,0,78044,-98.9439819,27.8796330,28348314.22
780MX,1,78045,-99.0509504,27.7936630,53652499.53
780MX,2,78014,-99.1577286,28.0885810,40279635.12
780MX,3,78045,-99.9433690,28.1155498,330336636.98
783MX,0,77983,-96.8146744,28.1933308,2456.96
783MX,1,77983,-96.8171240,28.1815053,2942.01
783MX,2,78377,-96.8760138,28.1109759,31848726.03
783MX,3,78377,-96.9454428,27.9872136,52932493.31
783MX,4,78418,-97.3475494,27.1630014,202790681.06
783MX,5,78415,-97.4545527,27.3140141,56052.85
783MX,6,78415,-97.4488266,27.4161132,249563800.19
783MX,7,78385,-97.5516906,27.1394040,446963392.76
783MX,8,78363,-97.6004400,27.4011188,288356727.85
783MX,9,78385,-97.7567815,27.1138584,34197121.47
783MX,10,78363,-98.0190424,27.4614819,41164776.45
783MX,11,78338,-97.7688865,26.8059778,1763387032.10
783MX,12,78361,-98.4216148,26.9908391,269638068.88
783MX,13,78357,-98.7299054,27.6783108,70279477.95
783MX,14,78044,-98.8775749,27.8142831,97726222.43
783MX,15,78361,-99.0706367,27.2154576,34117399.58
785MX,0,78597,-97.2794719,26.5362438,17841204.47
785MX,1,78597,-97.3183975,26.6176846,22530822.92
785MX,2,78542,-98.0351786,26.7531317,65157876.08
785MX,3,78542,-98.1042170,26.7611337,2468897.66
788MH,0,78877,-100.7408173,29.1596856,1942406.27
788MX,0,78851,-101.7806750,29.9285640,23478090.33
788MX,1,78877,-100.7512096,29.1960083,48606147.55
788MX,2,78801,-100.1044503,29.0625578,3499121.71
788MX,3,78872,-100.0751881,29.0166085,3945993.37
788MX,4,78852,-100.3058212,29.0525572,503882099.02
788MX,5,78834,-100.1047345,28.3516078,21457988.20
788MX,6,78834,-100.1128531,28.2402600,13731397.92
790MX,0,79095,-100.0128838,35.1243850,8321881.12
790MX,1,79083,-101.6896304,35.7151882,10710684.28
790MX,2,79058,-101.7166578,35.5264695,43568952.50
790MX,3,79010,-102.3365055,35.5858174,6238094.77
790MX,4,79092,-102.3910608,35.5670168,23321535.05
790MX,5,79018,-102.5425522,35.6391476,15121647.12
790MX,6,79092,-102.5449988,35.5714840,63627671.13
790MX,7,79001,-102.8574450,35.5673865,9070289.63
790MX,8,79001,-102.8903873,35.3484755,14744222.51
790MX,9,79001,-102.9909338,35.5588196,114629368.36
791MX,0,79108,-101.7215340,35.4468428,40501673.92
792MX,0,79257,-101.1856174,34.6854864,56367742.71
792MX,1,79248,-100.0919490,33.6960962,181034681.29
792MX,2,79502,-100.2128893,33.5311211,959573099.56
793MX,0,79370,-100.5455997,33.4881601,2414354.79
793MX,1,79351,-101.4879070,32.9665339,1487633.13
795MX,0,79227,-99.9905250,33.7585894,1707496.01
795MX,1,79720,-101.1488967,32.1119625,16362503.75
797MX,0,79714,-102.9441119,32.1075308,83073553.22
797MX,1,79770,-103.8900896,31.9791430,39829173.52
797MX,2,79758,-102.4299774,32.1221631,59468832.89
797MX,3,79772,-103.9228145,31.6932012,49155661.26
797MX,4,79719,-103.4340456,31.6518208,361516297.45
797MX,5,79777,-103.2888071,31.5398716,85186314.42
797MX,6,79772,-104.1452379,31.3990157,29976986.84
797MX,7,79731,-102.2240885,31.4764858,88018972.73
797MX,8,79752,-102.1293474,31.3716248,91820856.20
797MX,9,79772,-104.0217644,31.1667416,82089801.95
797MX,10,79718,-103.8092193,31.1490242,90237137.17
797MX,11,79731,-102.4002270,31.2104982,80525573.07
797MX,12,79772,-103.4551546,31.0996959,83646034.58
797MX,13,79735,-102.9669654,31.0784373,13017327.72
797MX,14,79735,-102.7853757,31.0860488,43634679.20
797MX,15,76943,-101.8254794,31.1489922,23087558.36
797MX,16,79735,-102.5876410,31.0512549,292090377.89
797MX,17,79735,-103.2468241,30.8445653,62690059.44
797MX,18,79735,-102.1526551,30.7467987,439226204.03
797MX,19,79735,-103.2919169,30.6543720,735086568.45
797MX,20,79735,-102.4018544,30.4357680,254882685.38
797MX,21,79735,-102.7341277,30.4277921,1075529652.88
797MX,22,79848,-102.6167519,30.1190061,72688174.05
798MX,0,79847,-105.3249547,31.9721697,44856029.01
798MX,1,79847,-105.6343220,31.8784320,319724690.47
798MX,2,79839,-105.5524502,31.6037150,209481970.35
798MX,3,79851,-105.5050225,31.3851138,48568346.49
798MX,4,79847,-104.3562852,31.6789143,3006682399.43
798MX,5,79851,-105.1017643,31.4170784,1206759360.49
798MX,6,79855,-104.1533645,31.2156151,112128619.56
798MX,7,79851,-105.3057125,31.0386785,146816100.23
798MX,8,79854,-104.6086293,30.8741585,52761795.41
798MX,9,79851,-105.0525764,30.7385491,257925929.44
798MX,10,79830,-103.3456653,30.5487187,104304546.52
798MX,11,79854,-104.5660322,30.4417437,115376969.73
798MX,12,78851,-102.1495717,30.5676722,304079575.11
798MX,13,79842,-103.0058029,30.2639621,384912590.83
798MX,14,79830,-103.3468040,29.8899229,44530903.25
798MX,15,79830,-102.7170258,29.9111453,2093706774.33
798MX,16,79843,-103.9666383,29.6724994,1298228010.06
799MX,0,79847,-105.6721825,31.9781621,137811225.07
799MX,1,79938,-105.7442738,31.8346665,175816275.39
809MX,0,80926,-104.8146569,38.5403310,1744423.66
813MH,0,84534,-109.0347349,37.0057233,2378769.79
813MX,0,81334,-108.9189448,37.0804736,362488441.83
823MH,0,82334,-106.6887365,41.9959558,343362.71
823MH,1,82331,-106.8970906,41.6630800,81029.13
823MH,2,82331,-106.9441518,41.5959995,3199548.92
823MX,0,82604,-106.6488715,42.3256880,254164445.23
823MX,1,82336,-108.2624692,42.0478332,4289662103.80
823MX,2,82334,-107.0852560,42.0642401,526317745.10
823MX,3,82334,-106.7488642,41.9649701,305636647.97
823MX,4,82329,-106.3539796,41.8906459,176964215.83
823MX,5,82327,-106.6360254,41.7600364,39338555.03
823MX,6,82301,-107.5348941,41.6718372,220372084.84
823MX,7,82324,-106.6251000,41.7132652,39509400.96
823MX,8,82336,-108.2606371,41.4949151,504122519.35
823MX,9,82331,-107.1144905,41.4746391,346154807.79
823MX,10,82321,-107.6246956,41.4370446,1032159225.39
824MX,0,82834,-107.3202959,44.2782507,104728652.17
824MX,1,82401,-107.6654551,43.8495515,533930188.27
824MX,2,82411,-108.3740091,44.2044237,213430543.47
824MX,3,82433,-108.6299507,44.1930091,87778939.23
824MX,4,82433,-108.7209525,44.4789212,270038683.73
